م,اسم الإدارة,اسم المحطة,مجري المصرف,كم,مجري الترعة,كم.1,الحالة تعمل /معطلة,عدد الوحدات بالمحطة,تصرف الوحدة م3/ث,عدد الوحدات العاملة,عدد ساعات التشغيل اليومي,عدد ايام التشغيل في الاسبوع,تصرف المحطة    م3/اسبوع,اجمالي االتصرف الشهري,ملاحظات,Unnamed: 16,Unnamed: 17
1,الإدارة العامة لري دمياط,الوسطانى,نمرة 1 لأسفل,15,الوسطانى,نهاية الترعة,0.6,,1,1,10.5,73.5,158760.0,680400.0,,,
2,الإدارة العامة لري دمياط,رأس الخليج,نمرة 1 لأسفل,25,رأس الخليج,نهاية الترعة,0.6,,1,1,2,14,30240.0,129600.0,,,
3,الإدارة العامة لري دمياط,البنك,نمرة 1 لأسفل,18,البنك,نهاية الترعة,0.55,,0.5,1,2.5,17.5,17325.0,74250.0,,,
4,الإدارة العامة لري دمياط,الأجزاء,السرو الأسفل,6,الأجزاء,نهاية الترعة,0.6,,0.5,1,3,21,22680.0,97200.0,,,
5,الإدارة العامة لري دمياط,السبعمائة,السرو الأسفل,8.5,السبعمائة,نهاية الترعة,0.65,,0.5,1,4.5,31.5,36855.0,157950.0,,,
6,الإدارة العامة لري دمياط,الكاشف,بحر الغيط,2.2,الكاشف,نهاية الترعة,0.6,,0.5,1,2,14,15120.0,64800.0,,,
7,الإدارة العامة لري دمياط,الحصار,مصرف العطوى,11,الحصار,نهاية الترعة,0.55,,0.5,1,0.5,3.5,3465.0,14850.0,,,
8,الإدارة العامة لري دمياط,الغوابين,مصرف العطوى,5,الغوابين,نهاية الترعة,0.6,,0.5,1,5,35,37800.0,162000.0,,,
9,الإدارة العامة لري دمياط,البطرساية,مصرف الهرنة,7.5,البطرساية,نهاية الترعة,0.4,,0.5,1,0,0,0.0,0.0,,,
10,الإدارة العامة لري دمياط,كرم,مصرف الهرنة,5,كرم,كيلو 2500,0.55,,0.5,1,2.5,17.5,17325.0,74250.0,,,
11,الإدارة العامة لري دمياط,ميت الخولى,السيالة القديم,2.95,ميت الخولى,نهاية الترعة,0.65,,1,1,3,21,49140.0,210600.0,,,
12,الإدارة العامة لري دمياط,الشوكة,مصرف الهرنه,1,الشوكة,نهاية الترعة,0.7,,0.5,1,1.5,10.5,13230.0,56700.0,,,
13,الإدارة العامة لري دمياط,البنك الجديدة,نمرة 1 لأسفل,4.5,البنك,نهاية الترعة,0.8,,1,1,4.5,31.5,90720.0,388800.0,,,
14,الإدارة العامة لري دمياط,الشرقية,كفر البطيخ,10,البلامون,نهاية الترعة,0.8,,0.5,1,1,7,10080.0,43200.0,,,
15,الإدارة العامة لري دمياط,الحدود,السياله العمومى,6,الحدود,كيلو3,0.8,,0.5,1,0,0,0.0,0.0,,,
16,الإدارة العامة لري السلام غرب,محطة  فارسكور الجديدة,مصرف العطوى,,ترعة السلام,,0.7,,5,4,24,,3655000.0,14620000.0,,,
17,الإدارة العامة لري السلام غرب,محطة السرو الأسفل القديمة,مصرف السرو الأسفل,,ترعة السلام,,0.7,,8,4,24,,10002500.0,40010000.0,,,
18,الإدارة العامة لري السلام غرب,محطة  السرو الأسفل الجديدة,مصرف السرو الأسفل,,ترعة السلام,,0.7,,9,7,72,,0.0,,,,
19,الإدارة العامة لري السلام غرب,محطة خلط السلام رقم (3),مصرف العطوى,,ترعة السلام,,0.7,,16.5,9,48,,16515000.0,66060000.0,,,
20,الإدارة العامة لرى زفتى,كفر الديب,القرنيين,ك 5.180بر ايسر على الرياح العباسى,الرياح العباسى,,2,,3.5,2,12,,1620000.0,6480000.0,,,
21,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط السلامونية (1),مصرف جناج,ك 1.400,ترعة السلامونية,ك 16.00,تعمل,1,0.5 م3 / ث,1,6.5 ساعات,7 ايام,81900.0,327600.0,هندسة بسيون,,
22,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط السلامونية (2),قونه ك 1.600,ك 1.600,ترعة السلامونية,ك 17.39,تعمل,1,1 م3 / ث,1,7 ساعات,7 ايام,176400.0,705600.0,,,
23,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط طنبارة الغربية ,جنابية مصرف الغربية الرئيسي,ك 2.00,طنبارة الغربية,ك 11.00,تعمل,1,0.5 م3 / ث,1,11 ساعة,6 ايام,118800.0,475200.0,هندسة رى بشبيش,,
24,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط طنبارة الشرقية ,جنابية مصرف الغربية الرئيسي,ك 1.500,طنبارة الشرقية,ك 11.00,تعمل,1,1 م3 / ث,1,14 ساعة,5 ايام,216000.0,864000.0,,,
25,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط دمشق ,جنابية مصرف الغربية الرئيسي,ك 4.00,دمقش,ك 4.00,تعمل,1,00.14 م3 / ث,1,5 ساعات,4 ايام,10000.0,40000.0,,,
26,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط القهوجى ,مصرف متبول,ك 6.500,القهوجي,ك 11.00,تعمل,1,1 م3 / ث,1,3.5 ساعة,4 ايام,50400.0,201600.0,هندسة رى قطور,,
27,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط الجمايل البحرية,مصرف العتوه,ك 12.500,ترعة الجمايل,نهاية ترعة الجمايل,تعمل,1,1 م3 / ث,1,4.5 ساعة,3 ايام,48600.0,194400.0,,,
28,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط متبول,مصرف متبول,ك 6.00,ترعة متبول,نهاية ترعة متبول,تعمل,2,0.5 م3 / ث,2,11 ساعة,4 ايام,79200.0,316800.0,,,
29,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط البنوان,مصرف سماتاى,ك 3.400,البنوان,ك 3.5,تعمل,1,1 م3 / ث,1,4.5 ساعة,6 ايام,93600.0,374400.0,هندسة غرب المحلة,,
30,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط جنابية شبشير ,سماتاى,ك29.00برا يسر,جنابيه شبشير,المصب ك 11.15,تعمل,1,1 م3 / ث,1,1.5 ساعة,1 يوم,5400.0,21600.0,هندسة رى طنطا ,,
31,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط جنابية دسوق ,سماتاى,ك26.700برايمن,جنابيه دسوق,المصب ك5.400,تعمل,--,1 م3 / ث,1,1 ساعة,1 يوم,3600.0,14400.0,,,
32,الإدارة العامــــة لــرى الغربيــــــة ,محطة خلط أم حلقه ,نشرت,ك33.00برايمن,ام حلقه,المصب ك2.03,تعمل,--,1 م3 / ث,1,1.5 ساعة,1  يوم,5400.0,21600.0,,,
33,الإدارة العامة لرى النصر,قرية 18 بنجر,مصرف 5 النصر,بر ايمن 5.5 المصرف,فرع 8 ايمن البنجر,بر ايسر الترعة ,تعمل ,2,1,2,12,3,259200.0,1036800.0,,,
34,الإدارة العامة لرى النصر,أبو مسعود اليمنى,مصرف علم المرقب,بر ايسر  ك4 المصرف,أبو مسعود اليمنى,بر ايمن ك  4.5,تم الغاؤها,0,0,0,0,0,0.0,0.0,,,
35,الإدارة العامة لرى النوبارية,جلال,مصرف النوبارية,ك9.00,نهاية ترعة جلال,,جيدة,,0.9,1,5 ساعات تعمل 20 يوم بالشهر  ,,70560.0,302400.0,,,
36,الإدارة العامة لرى النوبارية,الوكلاء القديمة,مصرف النوبارية,ك11.200,نهاية ترعة الوكلاء القديمة ,,جيدة,,0.9,1,5 ساعات تعمل 20 يوم بالشهر  ,,194040.0,831600.0,,,
37,الإدارة العامة لرى النوبارية,مغذى الحاجر,مجرى خلط,,ترعة الحاجر,ك 42.00,جيدة,,0.85,2,48,,52920.0,226800.0,,,
38,الإدارة العامة لرى النوبارية,قيريطم,شرشرا,,ترعة قيريطيم,,جيدة,,0.9,1,8,,123480.0,529200.0,,,
39,الإدارة العامة لرى النوبارية,المنشية,جبارس,,ترعة المنشية ,,جيدة,,0.9,1,10,,80640.0,345600.0,,,
40,الإدارة العامة لرى النوبارية,مغذى ترعة بهيج,النصر البحرى ,13.3,ترعة بهيج ,17,,,,1,,,648000.0,2592000.0,,,
41,الإدارة العامة لرى النوبارية,مغذى دليل ترعة مريوط,تعمير الصحارى ,2.1,ترعة مريوط,2.8,,,,4,,,2592000.0,10368000.0,,,
42,الإدارة العامة لرى النوبارية,مغذى مص محطة مريوط 4,150 بغداد ,4.9,ترعة مريوط,,,,,0.25,,,162000.0,648000.0,,,
43,الإدارة العامة لرى النوبارية,مغذى ترعة الطفلة ,الصاعدة,2.3,ترعة الطفلة,2.25,,,,0.25,,,162000.0,648000.0,,,
44,الإدارة العامة لرى النوبارية,مصرف لترعة الطفلة ,خالد بن الوليد (مصرف خصوصى),,ترعة الطفلة,4.85,,,,0.25,,,162000.0,648000.0,,,
45,الإدارة العامة لرى النوبارية,مغذى دليل الثورة الرئيسية ,غرب النوبارية ,50,دليل الثورة ,0.6,,,,1,,,648000.0,2592000.0,,,
46,الإدارة العامة لرى النوبارية,مغذى دليل الحرية الرئيسية ,غرب النوبارية ,60,دليل الحرية,0.1,,,,0.25,,,162000.0,648000.0,,,
47,الإدارة العامة لرى النوبارية,مغذى فرع(1) ايمن الحاجر ,العموم,22.9,فرع (1),,,,,0.5,,,324000.0,1296000.0,,,
48,الإدارة العامة لرى النوبارية,مغذى فرع(2) ايمن الحاجر ,العموم,19.8,فرع (2),,,,,0.5,,,324000.0,1296000.0,,,
49,الإدارة العامة لرى النوبارية,مغذى فرع(3) ايمن الحاجر ,العموم,16.7,فرع (3),,,,,0.5,,,324000.0,1296000.0,,,
50,الإدارة العامة لرى شرق الدقهلية,زغلولة,النيل,104,ترعة زغلولة,13.5,0.75,1,1,1,9,63,170100.0,729000.0,قبلي أجا,,
51,الإدارة العامة لرى شرق الدقهلية,بشلا,ترعة المنصورية,12.4,جنابية بشلا,12.7,0.75,1,1,1,8,56,151200.0,648000.0,,,
52,الإدارة العامة لرى شرق الدقهلية,الشون,النظام,15,الشون اليمني,نهاية الترعة,0.75,1,0.5,1,0,0,0.0,0.0,قبلي المنصورة,,
53,الإدارة العامة لرى شرق الدقهلية,الصلاحات,طناح البحري,0.5,الصلاحات,نهاية الترعة,0.75,1,1,1,10,70,189000.0,810000.0,,,
54,الإدارة العامة لرى شرق الدقهلية,نجع العربان,حادوس,23,نجع العربان,نهاية الترعة,0.75,1,1,1,12,84,226800.0,972000.0,ميت سويد,,
55,الإدارة العامة لرى شرق الدقهلية,الحدادة,حادوس,27,الحدادة,نهاية الترعة,0.75,1,1,1,9,63,170100.0,729000.0,,,
56,الإدارة العامة لرى شرق الدقهلية,اليوسيفية,حادوس,37,اليوسيفية,نهاية الترعة,0.75,1,1,1,16,112,302400.0,1296000.0,,,
57,الإدارة العامة لرى شرق الدقهلية,نهاية الزوات,حادوس,40,الزوات,نهاية الترعة,0.75,1,1,1,8,56,151200.0,648000.0,,,
58,الإدارة العامة لرى شرق الدقهلية,خيري,حادوس,43,فرع خيري,نهاية الترعة,0.75,1,1,1,11,77,207900.0,891000.0,,,
59,الإدارة العامة لرى شرق الدقهلية,الجنينة,عموم البحيرة الأعلي,0.25,الجنينة,نهاية الترعة,0.75,1,1,1,12,84,226800.0,972000.0,,,
60,الإدارة العامة لرى شرق الدقهلية,الملقا, زروفوذاكي,8.1,الملقا,نهاية الترعة,0.75,1,1,1,8,56,151200.0,648000.0,,,
61,الإدارة العامة لرى شرق الدقهلية,النزل,السرو الأسفل,19.7,النزل,نهاية الترعة,0.75,1,1,1,11,77,207900.0,891000.0,دكرنس,,
62,الإدارة العامة لرى شرق الدقهلية,ميت طاهر,السرو,18,ميت طاهر,نهاية الترعة,0.85,1,1,1,9,63,192780.0,826200.0,,,
63,الإدارة العامة لرى شرق الدقهلية,ميت رومي, عموم البحيرة الأعلي ,13.35,ميت رومي,نهاية الترعة,0.75,1,1,1,10,70,189000.0,810000.0,,,
64,الإدارة العامة لرى شرق الدقهلية,المناشر, قنيش  ,0.5,المناشر,نهاية الترعة,0.75,1,1,1,8,56,151200.0,648000.0,,,
65,الإدارة العامة لرى شرق الدقهلية,فرع الجوابر,مرجا,1,فرع الجوابر,نهاية الترعة,0.75,1,1,1,8,56,151200.0,648000.0,غرب المنزلة,,
66,الإدارة العامة لرى شرق الدقهلية,البحيرة,السرو الأسفل,8.25,البحيرة,نهاية الترعة,0.85,1,1,1,10,70,214200.0,918000.0,,,
67,الإدارة العامة لرى شرق الدقهلية,التل,السرو الأسفل,5,التل,نهاية الترعة,0.75,1,1,1,11,77,207900.0,891000.0,,,
68,الإدارة العامة لرى شرق الدقهلية,مبارك,  السرو الأسفل ,10.4,مبارك,نهاية الترعة,0.75,1,1,1,8,56,151200.0,648000.0,,,
69,الإدارة العامة لرى شرق الدقهلية,عنبر,  الجمالية ,0.6,عنبر,نهاية الترعة,0.75,1,1,1,9,63,170100.0,729000.0,,,
70,الإدارة العامة لرى شرق الدقهلية,أم نوار العليا,السرو ,6.15,أم نوار العليا,نهاية الترعة,0.85,1,1,1,12,84,257040.0,1101600.0,بحري المنصورة,,
71,الإدارة العامة لرى شرق الدقهلية,أم نوار السفلي,السرو,5.4,أم نوار السفلي,نهاية الترعة,0.85,1,1,1,10,70,214200.0,918000.0,,,
72,الإدارة العامة لرى شرق الدقهلية,شها,السرو,31.5,شها,نهاية الترعة,0.75,1,1,1,9,63,170100.0,729000.0,,,
73,الإدارة العامة لرى شرق الدقهلية,النسايمة,الأحمدية,5.3,النسايمة,نهاية الترعة,0.75,1,1,1,10,70,189000.0,810000.0,شرق المنزلة,,
74,الإدارة العامة لري جنوب الدقهلية,سنتماى,بحر صفط,ك 0.85, أم يونس الدنديطية,ك 21,معطلة,,1,1,0,0,,0.0,,,
75,الإدارة العامة لري جنوب الدقهلية,محمود باشا,بحر صفط,ك17.740, محمود باشا,ك 7.200,معطلة,,1,1,0,0,,306000.0,,,
76,الإدارة العامة لري جنوب الدقهلية,الدبيجية,بحر صفط,ك9.140, الدبيجية,ك 16.950,تعمل,,1,1,0,0,,172800.0,,,
77,الإدارة العامة لري جنوب الدقهلية,اتميدة,كوم النور,ك 7.200, اتميدة,ك 10.06,تعمل,,0.5,1,0,0,,0.0,,,
78,الإدارة العامة لري جنوب الدقهلية,الفردوس,طماى الزهايرة,ك2.500,الفردوس,ك1,تعمل,,0.5,1,0,0,,129600.0,,,
79,الإدارة العامة لري جنوب الدقهلية,محبوبة,بحر حادوس,ك62,محبوبة,ك4,تعمل,,0.5,1,0,0,,129600.0,,,
80,الإدارة العامة لري جنوب الدقهلية,عثمان رمزى,بحر حادوس,ك55,عثمان رمزى,ك6,تعمل,,1,1,0,0,,345600.0,,,
81,الإدارة العامة لري جنوب الدقهلية,الصافورية,بحر حادوس,ك57,ترعة الصافورية,ك21.600,تعمل ,,1,1,0,0,,345600.0,,,
82,الإدارة العامة لري جنوب الدقهلية,مليكة,أم عنام,ك6.450,مليكة,النهاية,تعمل,,0.5,1,0,0,,172800.0,,,
83,الإدارة العامة لري جنوب الدقهلية,الشون السفلى,جنابية النظام الجديدة,ك3,الشون السفلى,ك 9.450,تعمل,,1,1,10,70,,720000.0,,,
84,الإدارة العامة لري جنوب الدقهلية,أم الدياب,النظام,ك7,أم الدياب,ك 10.700,تعمل,,1,1,12,84,,1080000.0,,,
85,الإدارة العامة لري جنوب الدقهلية,الكمونى,النظام,ك 10.500,الكمونى,ك 7.500,تعمل,,1,1,10,70,,720000.0,,,
86,الإدارة العامة لري جنوب الدقهلية,صدقا,بحر حادوس,ك46,صدقا,ك 7.3,معطلة,,1,1,0,0,,990000.0,,,
87,الإدارة العامة لري جنوب الدقهلية,المقاطعة,السنبلاوين,ك 2.500, المقاطعة,ك 8,تعمل,,0.5,1,10,70,,360000.0,,,
88,الإدارة العامة لري جنوب الدقهلية,محطة الرميلة,بحر حادوس,ك 50, صدقا  (الرميلة),ك 4.470,تعمل,,1,1,10,70,,990000.0,,,
89,الإدارة العامة لري جنوب الدقهلية,الخمسة,النظام,ك2, الخمسة,ك 8.250,تعمل,,1,1,12,84,,1080000.0,,,
90,الإدارة العامة لري جنوب الدقهلية,التمساحى,شاهتن,ك 2.700,التمساحى,ك 3.200,تعمل,,0.5,1,5,35,,90000.0,,,
91,الإدارة العامة لري جنوب الدقهلية,شكر الله,بحر صفط,ك 22.400, شكر الله,ك6,تعمل,,1,1,0,0,,0.0,,,
92,الإدارة العامة لري جنوب الدقهلية,الأميرة,بحر صفط,ك34, الأميرة,ك2,تعمل,,1,1,0,0,,0.0,,,
93,الإدارة العامة لري جنوب الدقهلية,المقدام,الهوابر,ك2,المقدام,النهاية,تعمل,,0.5,1,1,7,,0.0,,,
94,الإدارة العامة لري جنوب الدقهلية,القيطون والبيوم,الطرفه,ك 1.300,القيطون والبيوم,النهاية,تعمل,,0.5,1,0,0,,0.0,,,
95,الإدارة العامة لري جنوب الدقهلية,كوم الأشراف,ميت أبو خالد,ك2,كوم الأشراف,النهاية,تعمل,,0.5,1,0,0,,0.0,,,
96,الإدارة العامة لري جنوب الدقهلية,الدنديطية ,الهوابر,ك6,الدنديطية ,النهاية,تعمل,,0.5,1,0,0,,0.0,,,
97,الإدارة العامة لري جنوب الدقهلية,ميت القرشى,المقدام,ك 4,ميت القرشى,النهاية,تعمل,,0.5,1,0,0,,0.0,,,
98,الإدارة العامة لري جنوب الدقهلية,الأورمان,شنفاس,ك 6.300,الأورمان,ك 12.300,معطلة,,1,1,0,0,,0.0,,,
99,الادارة العامة لري البحيرة,لوقين ,دسونس,5,لوقين ,,جيدة,,0.5,1,7,,,324000.0,,,
100,الادارة العامة لري البحيرة,البسلقون,جنابية العموم,6,البسلقون,,جيدة,,0.5,1,6,,,486000.0,,,
101,الادارة العامة لري البحيرة,عواد,جنابية العموم,9,عواد,,جيدة,,0.5,1,7.5,,,432000.0,,,
102,الادارة العامة لري البحيرة,بلقطر,الشريشرا,0.3,بلقطر,,0.7,,1,1,12.5,,,1296000.0,,,
103,الادارة العامة لري البحيرة,القماحين,سيف,4,القماحين,,جيدة,,1,1,12,,,864000.0,,,
104,الادارة العامة لري البحيرة,محلة كيل,الشريشرا,6.8,محلة كيل,,جيدة,,1,1,7,,,756000.0,,,
105,الادارة العامة لري البحيرة,أبوطاحون,مصرف امتداد العموم,0,أبوطاحون,,0.7,,1,1,8,,,0.0,,,
106,الادارة العامة لري البحيرة,الزيني,الشريشرا,3,الزيني,,0.7,,1,1,10,,,1296000.0,,,
107,الادارة العامة لري البحيرة,سيدي عزب,الشريشرا,8,سيدي عزب,,0.8,,1,1,10,,,1080000.0,,,
108,الادارة العامة لري البحيرة,كوم القناطر,وصلة الزيني,8,كوم القناطر,,0.8,,1,1,4,,,540000.0,,,
109,الادارة العامة لري البحيرة,سيدي عمر,الشماسمة,5.7,ترعة المشروع,,0.7,,1,1,5,,,432000.0,,,
110,الادارة العامة لري غرب البحيرة,الجنينة,ايتاي البارود,7,الجنينة,,1,,1,1,18,,302600.0,1296000.0,,,
111,الادارة العامة لري غرب البحيرة,ابو دياب الاسفل,الشريشرة,17,ابو دياب الاسفل,,1,,1,1,18,,252000.0,1080000.0,,,
112,الادارة العامة لري غرب البحيرة,المصلب,ايتاي البارود,8.4,المصلب,,1,,1,1,18,,378000.0,1620000.0,,,
113,الادارة العامة لري غرب البحيرة,نفره,ايتاي البارود,3,نفره,,1,,1,1,18,,252000.0,1080000.0,,,
114,الادارة العامة لري غرب البحيرة,الجرن,واصلة ايتاي البارود/شبراخيت,3.9,الجرن,,1,,0.5,1,18,,252000.0,1080000.0,,,
115,الادارة العامة لري غرب البحيرة,البكوات,شبراخيت,4.9,وصلة الانصارية,,1,,1,1,18,,504000.0,2160000.0,,,
116,الادارة العامة لري غرب البحيرة,الانصاريه,واصلة ايتاي البارود/شبراخيت,0.06,الانصاريه,,1,,1,1,18,,302400.0,1296000.0,,,
117,الادارة العامة لري غرب البحيرة,إمتداد مستناد,شبراخيت,11.6,إمتداد مستناد,,1,,1,1,18,,453600.0,1944000.0,,,
118,الادارة العامة لري غرب البحيرة,المناشله الجديدة,شبراخيت,7.6,المناشله الجديدة,,1,,0.5,1,18,,252000.0,1080000.0,,,
119,الادارة العامة لري غرب البحيرة,المشايخ ,شبراخيت,2.1,المشايخ ,,1,,1,1,18,,554400.0,2376000.0,,,
120,الادارة العامة لري غرب البحيرة,ابو جازيه,شبراخيت,1.2,ج الرحمانية,,1,,0.5,1,18,,138600.0,594000.0,,,
121,الادارة العامة لري غرب البحيرة,الرزافة,وصلة الدلنجات,,الرزافة,,1,,0.5,1,18,,0.0,0.0,,,
122,الادارة العامة لري غرب البحيرة,الأفندية,وصلة الدلنجات,,الأفندية,,1,,1,1,18,,50400.0,216000.0,,,
123,الادارة العامة لري غرب البحيرة,موقع محطة تغذية ترعة القلعة من مصرف جبارس الشرقى,جبارس الشرقي,1.1,القلعة,,1,,0.5,1,18,,0.0,0.0,,,
124,الادارة العامة لري غرب البحيرة,موقع محطة تغذية ترعة طرابمبا من ايتاى/ شبراخيت ,ايتاي البارود,13,طرابمبا,,1,,1,1,18,,453600.0,1944000.0,,,
125,الادارة العامة لري غرب البحيرة,موقع محطة تغذية ترعة رستم من مصرف شبراخيت ,شبراخيت,13.7,رستم,,1,,0.5,1,18,,126000.0,540000.0,,,
126,الادارة العامة لري غرب البحيرة,موقع محطة تغذية ترعة الجنينة من مصرف ايتاى/شبراخيت,ايتاي البارود,7,الجنينه,,1,,0.5,1,18,,239400.0,1026000.0,,,
127,الادارة العامة لري غرب البحيرة,موقع محطة تغذية ترعة شاكر من مصرف اللوية ,اللوية,8,شاكر,,1,,0.5,1,18,,163800.0,702000.0,,,
128,الادارة العامة لري غرب البحيرة,موقع محطة تغذية ترعة الرزق من مصرف جبارس الشرقى,جبارس الشرقي,1.2,الرزق,,1,,0.5,1,18,,75600.0,324000.0,,,
129,الادارة العامة لري غرب البحيرة,"موقع محطة تغذية ترعة ابو دياب الاسفل 
من مصرف جبارس الغربى",جبارس الشرقي,5.2,أبو دياب الأسفل,,1,,1,1,18,,453600.0,1944000.0,,,
130,الادارة العامة لري غرب البحيرة,موقع محطة زيادة تغذية نهاية ابو دياب الأسفل من مصرف الشرايشرا,الشريشرة,16,أبو دياب الأسفل,,1,,1,1,18,,453600.0,1944000.0,,,
131,الادارة العامة لري غرب البحيرة,نهاية خليج المراكب ,الزعفران,1.5,خليج المراكب,,1,,0.5,1,18,,25200.0,108000.0,,,
132,الادارة العامة لري غرب البحيرة,موقع محطة تغذية نهاية ترعة الجرن بر أيمن,وصلة ايتاى / شبراخيت,1,الجرن,,1,,0.5,1,18,,138600.0,594000.0,,,
133,الادارة العامة لري غرب البحيرة,موقع محطة ترعة المناشلة الجديدة,منية سلامة,3,المناشلة الجديدة,,1,,0.5,1,18,,0.0,0.0,,,
134,الادارة العامة لري غرب البحيرة,موقع محطة مغذى لنهاية ترعة المناشلة الجديدة ,شبراخيت,7.6,المناشلة الجديدة,,1,,0.5,1,18,,100800.0,432000.0,,,
135,الادارة العامة لري المنوفية,نهاية ترعة النعناعية,,,ترعة النعناعية,79.4,,,,,,,,0.0,,,
136,الادارة العامة لري المنوفية,نهاية ترعة بحر سيف,,,ترعة بحر سيف,37.3,,,,,,,,864000.0,,,
137,الادارة العامة لري المنوفية,نهاية ترعة عميشة,,,ترعة عميشة,22.42,,,,,,,,0.0,,,
138,الادارة العامة لري المنوفية,نهاية ترعة رستم,,,ترعة رستم,3.87,,,,,,,,432000.0,,,
139,الإدارة العامة لرى غرب كفر الشيخ,السطح ( 1 ), مصرف بحر نشرت,ك 7.600 برأيمن,نهاية ترعةالسطح,النهاية,,,0.96,1,,,,380160.0,,,
140,الإدارة العامة لرى غرب كفر الشيخ,السطح ( 2 ), مصرف بحر نشرت,ك 7.600 برأيمن,نهاية ترعةالسطح,النهاية,,,1,1,,,,1800000.0,,,
141,الإدارة العامة لرى غرب كفر الشيخ,الحناوى, مصرف بحر نشرت,ك 7.500 بر أيمن,الحناوى,8,,,1,1,,,,907200.0,,,
142,الإدارة العامة لرى غرب كفر الشيخ,أم دخان, مصرف بحر نشرت,ك 2.300 بر أيمن,نهاية ترعة أم دخان,النهاية,,,1,1,,,,1267200.0,,,
143,الإدارة العامة لرى غرب كفر الشيخ,محيط بلشاشة ( الخمسين ), مصرف صندلا,ك 1.00 بر أيسر,محيط بلشاشة الغربي,5.5,,,1,1,,,,1050000.0,,,
144,الإدارة العامة لرى غرب كفر الشيخ,الخرابة, مصرف بحر نشرت,ك 2.000 بر أيمن,الخرابة,النهاية,,,1,1,,,,1296000.0,,,
145,الإدارة العامة لرى غرب كفر الشيخ,دليل الغامرية, مصرف بحر نشرت,ك 0.050 بر أيمن,نهاية الغامرية,النهاية,,,1,1,,,,200000.0,,,
146,الإدارة العامة لرى غرب كفر الشيخ,صندلا,مصرف صندلا,ك 4.000,محيط بلشاشة الغربي,,,,1,1,,,,1.1,,,
147,الإدارة العامة لرى غرب كفر الشيخ,عويرة,صندلا,ك 6.400,صندلا,مسقة عويرة,,,0.5,1,,,,396000.0,,,
148,الإدارة العامة لرى غرب كفر الشيخ,الشقة,مسقة الشقة,,الشقة,,,,0.5,1,,,,270000.0,,,
149,الإدارة العامة لرى غرب كفر الشيخ,المنشأة,المنشأة,ك 4.750 بر أيمن,ترعة المنشأة,7.2,,,1,2,,,,2370000.0,,,
150,الإدارة العامة لرى غرب كفر الشيخ,المسك,مصرف نمره 8,ك 4.400 بر أيسر,نهاية ترعة المسك,النهاية,,,1,1,,,,1382400.0,,,
151,الإدارة العامة لرى غرب كفر الشيخ,شالما ( 1 ) ,مصرف نمره8,ك 6.300 بر أيمن,امتداد شالما,9.5,,,1,1,,,,3217600.0,,,
152,الإدارة العامة لرى غرب كفر الشيخ,شالما ( 2 ) ,مصرف نمره 8,ك 6.300 بر أيمن,امتداد شالما,9.5,,,1,1,,,,3217600.0,,,
153,الإدارة العامة لرى غرب كفر الشيخ,ادريجه,المندوره,ك 6.500,ادريجه,النهاية,,,0.5,1,,,,720000.0,,,
154,الإدارة العامة لرى غرب كفر الشيخ,يوسف أفندي,مصرف نمره 10,ك 5.500 بر أيسر,نهاية ترعة يوسف أفندي,النهاية,,,1,1,,,,54000.0,,,
155,الإدارة العامة لرى غرب كفر الشيخ,السعداء,مصرف نمره 11,ك 7.000 بر أيمن,السعداء,النهاية,,,1,1,,,,282300.0,,,
156,الإدارة العامة لرى غرب كفر الشيخ,نهاية دليل الجنابية اليمنى,نمرة 9 الملغاه,الوصلة الملغاة,الجنابية اليمنى,النهاية,,,1,1,,,,259200.0,,,
157,الإدارة العامة لرى غرب كفر الشيخ,نحر كشك,مصرف ثروت,ك 3.500 بر أيسر,نحر كشك ,النهاية,,,1,1,,,,1152000.0,,,
158,الإدارة العامة لرى غرب كفر الشيخ,مفتاح,مصرف ثروت,ك 6.00 بر أيمن,نهاية ترعة مفتاح,النهاية,,,1,1,,,,540000.0,,,
159,الإدارة العامة لرى غرب كفر الشيخ,الكرادوة,مصرف فرعون,ك 2.500 بر أيمن,الكرادوة,النهاية,,,0.5,1,,,,306000.0,,,
160,الإدارة العامة لرى غرب كفر الشيخ,قبريط,مصرف نمره 11,ك 6.00 بر أيمن,نهاية ترعة قبريط,النهاية,,,1,1,,,,276000.0,,,
161,الإدارة العامة لرى غرب كفر الشيخ,خليج برمبال,زغلول الشرقي,ك 1.200 بر أيسر,المياه الحلوة وخليج برمبال,النهاية,,,1,1,,,,691200.0,,,
162,الإدارة العامة لرى غرب كفر الشيخ,امتداد شالما, مصرف نمره ( 8),3.4,امتداد شالما,ك 15.00,,,0.96,1,,,,216000.0,,,
